Date,Adj_Close,Close,High,Low,Open,Volume
1995-01-03,31.2056,45.7812,45.8437,45.6875,45.7031,324300
1995-01-04,31.3547,46.0,46.0,45.75,45.9843,351800
1995-01-05,31.3547,46.0,46.1093,45.9531,46.0312,89800
1995-01-06,31.3866,46.0468,46.25,45.9062,46.0937,448400
1995-01-09,31.4186,46.0937,46.0937,46.0,46.0312,36800
1995-01-10,31.4505,46.1406,46.3906,46.1406,46.2031,229800
1995-01-11,31.4718,46.1718,46.2968,45.8125,46.2968,222400
1995-01-12,31.4825,46.1875,46.2187,46.0312,46.125,40300
1995-01-13,31.8552,46.7343,46.7343,46.375,46.4375,170600
1995-01-16,32.047,47.0156,47.0312,46.7187,46.7187,105100
1995-01-17,32.0576,47.0312,47.0625,46.8593,46.9218,89500
1995-01-18,32.0256,46.9843,47.0781,46.875,47.0,84500
1995-01-19,31.8446,46.7187,46.875,46.6875,46.8281,139100
1995-01-20,31.7274,46.5468,46.6718,46.4531,46.6562,78700
1995-01-23,31.8233,46.6875,46.6875,46.2031,46.2343,53700
1995-01-24,31.8659,46.75,46.75,46.6406,46.6718,32400
1995-01-25,31.9511,46.875,47.0468,46.5156,46.5156,15700
1995-01-26,31.983,46.9218,46.9843,46.75,46.8437,9800
1995-01-27,32.1108,47.1093,47.2343,46.9218,47.2343,91200
1995-01-30,31.9724,46.9062,47.0468,46.8437,47.0156,26600
1995-01-31,32.1002,47.0937,47.1718,46.9218,47.0,127500
1995-02-01,32.0896,47.0781,47.3281,47.0,47.1562,380200
1995-02-02,32.2812,47.3593,47.3593,47.0625,47.0625,131700
1995-02-03,32.7392,48.0312,48.1093,47.5781,47.6562,405100
1995-02-06,32.8777,48.2343,48.375,47.9687,48.0156,405400
1995-02-07,32.9203,48.2968,48.3125,48.1406,48.3125,702900
1995-02-08,32.9203,48.2968,48.4687,48.2031,48.2343,521500
1995-02-09,32.9203,48.2968,48.2968,48.125,48.2187,390700
1995-02-10,32.9629,48.3593,48.3593,48.0937,48.2343,148300
1995-02-13,32.9736,48.375,48.4687,48.3281,48.3281,79700
1995-02-14,33.0162,48.4375,48.5312,48.25,48.5312,170200
1995-02-15,33.1972,48.7031,48.7656,48.3906,48.4375,431500
1995-02-16,33.1546,48.6406,48.6875,48.5,48.6406,99300
1995-02-17,33.0268,48.4531,48.625,48.4375,48.5937,49100
1995-02-21,33.0162,48.4375,48.5312,48.4218,48.4531,168000
1995-02-22,33.2611,48.7968,48.7968,48.4531,48.4843,386400
1995-02-23,33.3144,48.875,49.1562,48.8593,48.9843,402800
1995-02-24,33.3996,49.0,49.0156,48.8125,48.9375,307600
1995-02-27,33.1333,48.6093,49.0,48.5312,48.8593,280900
1995-02-28,33.4102,49.0156,49.0156,48.5625,48.5625,493500
1995-03-01,33.1972,48.7031,49.0312,48.6562,48.9687,242600
1995-03-02,33.2398,48.7656,48.7656,48.5468,48.6875,488600
1995-03-03,33.2504,48.7812,48.7812,48.4843,48.6093,290000
1995-03-06,33.2718,48.8125,48.8125,48.3906,48.4531,85700
1995-03-07,33.0162,48.4375,48.75,48.2187,48.6406,180900
1995-03-08,33.1014,48.5625,48.625,48.3437,48.5156,155900
1995-03-09,33.0907,48.5468,48.5937,48.4218,48.5468,63500
1995-03-10,33.5806,49.2656,49.3906,48.5312,48.5937,192100
1995-03-13,33.5486,49.2187,49.3906,49.1718,49.2343,261300
1995-03-14,33.7936,49.5781,49.6406,49.3593,49.3593,223300
1995-03-15,33.7297,49.4843,49.5781,49.2968,49.5,278500
